"","x"
"UCN2",2
"UQCRC1",2
"SLC26A6",2
"CELSR3",2
"IMPDH2",2
"QRICH1",2
"QARS1",2
"USP19",2
"GPX1",2
"APEH",2
"INKA1",2
"MON1A",2
"SEMA3F",2
"IFRD2",2
"HYAL2",2
"TUSC2",2
"TMEM115",2
"MAPKAPK3",2
"DOCK3",2
"MANF",2
"RPL29",2
"GLYCTK",2
"GNL3",2
"SPCS1",2
"NEK4",2
"RFT1",2
"PRKCD",2
"PDE12",2
"SLMAP",2
"ABHD6",2
"RPP14",2
"CADPS",2
"RYBP",2
"C3orf38",2
"EPHA6",2
"DCBLD2",2
"TRMT10C",2
"RPL24",2
"MYH15",2
"PLCXD2",2
"ABHD10",2
"TAGLN3",2
"C3orf52",2
"ATG3",2
"NEPRO",2
"NAA50",2
"ZDHHC23",2
"QTRT2",2
"TMEM39A",2
"GSK3B",2
"HCLS1",2
"CSTA",2
"KLF15",2
"MGLL",2
"GATA2",2
"MRPL3",2
"ACPP",2
"TMEM108",2
"ANAPC13",2
"EPHB1",2
"MSL2",2
"SLC35G2",2
"ARMC8",2
"MRPS22",2
"RASA2",2
"TFDP2",2
"U2SURP",2
"CHST2",2
"CPA3",2
"EIF2A",2
"SELENOT",2
"IGSF10",2
"RAP2B",2
"SSR3",2
"VEPH1",2
"PTX3",2
"C3orf80",2
"KPNA4",2
"NMD3",2
"SERPINI1",2
"LRRC34",2
"SKIL",2
"RPL22L1",2
"EIF5A2",2
"ZNF639",2
"MRPL47",2
"NDUFB5",2
"PEX5L",2
"CCDC39",2
"EIF2B5",2
"ALG3",2
"CAMK2N2",2
"PSMD2",2
"FAM131A",2
"CLCN2",2
"POLR2H",2
"TMEM41A",2
"IGF2BP2",2
"ETV5",2
"DGKG",2
"BCL6",2
"CLDN1",2
"CLDN16",2
"PLAAT1",2
"TNK2",2
"WDR53",2
"FBXO45",2
"NRROS",2
"SENP5",2
"NCBP2",2
"NCBP2AS2",2
"LRCH3",2
"RPL35A",2
"ZNF595",2
"ZNF721",2
"GAK",2
"SLC26A1",2
"NAT8L",2
"ZFYVE28",2
"NOP14",2
"PPP2R2C",2
"AC093323.1",2
"GRPEL1",2
"GPR78",2
"HS3ST1",2
"LDB2",2
"PACRGL",2
"ADGRA3",2
"ZCCHC4",2
"SMIM20",2
"C4orf19",2
"TMEM156",2
"RPL9",2
"LIAS",2
"SMIM14",2
"CHRNA9",2
"NSUN7",2
"TMEM33",2
"GNPDA2",2
"GABRA2",2
