"","x"
"TMEM38B",1
"KLF4",1
"ABITRAM",1
"TMEM245",1
"PTGR1",1
"INIP",1
"WHRN",1
"TNFSF15",1
"TNFSF8",1
"TNC",1
"PAPPA",1
"FBXW2",1
"C5",1
"CNTRL",1
"RBM18",1
"MRRF",1
"ZBTB6",1
"RABGAP1",1
"PSMB7",1
"RPL35",1
"ARPC5L",1
"RABEPK",1
"MAPKAP1",1
"RPL12",1
"NIBAN2",1
"TOR2A",1
"AK1",1
"SLC25A25",1
"DNM1",1
"COQ4",1
"ODF2",1
"WDR34",1
"PHYHD1",1
"NUP188",1
"DOLPP1",1
"TOR1A",1
"RAPGEF1",1
"MED27",1
"NTNG2",1
"DDX31",1
"MRPS2",1
"UBAC1",1
"ENTR1",1
"LRRC26",1
"NDOR1",1
"TUBB4B",1
"TOR4A",1
"MRPL41",1
"IFITM1",1
"PTDSS2",1
"HRAS",1
"CEND1",1
"PIDD1",1
"CRACR2B",1
"CD151",1
"POLR2L",1
"TSPAN4",1
"CTSD",1
"CARS1",1
"NUP98",1
"RRP8",1
"DCHS1",1
"MRPL17",1
"ZNF215",1
"RIC3",1
"RPL27A",1
"AKIP1",1
"NRIP3",1
"IPO7",1
"ZNF143",1
"PDE3B",1
"INSC",1
"RPS13",1
"MRGPRX4",1
"TSG101",1
"PRMT3",1
"GAS2",1
"SVIP",1
"ARL14EP",1
"DNAJC24",1
"RCN1",1
"EIF3M",1
"CCDC73",1
"CSTF3",1
"KIAA1549L",1
"C11orf91",1
"CD59",1
"EHF",1
"APIP",1
"CD44",1
"CHST1",1
"MDK",1
"CELF1",1
"CLP1",1
"TMX2",1
"LPXN",1
"GLYATL1",1
"MRPL16",1
"CCDC86",1
"TMEM138",1
"SDHAF2",1
"TMEM258",1
"FADS1",1
"BEST1",1
"MTA2",1
"B3GAT3",1
"TTC9C",1
"TMEM223",1
"COX8A",1
"NUDT22",1
"RPS6KA4",1
"ZNHIT2",1
"MRPL49",1
"ZNRD2",1
"MUS81",1
"FOSL1",1
"DRAP1",1
"TSGA10IP",1
"EIF1AD",1
"CATSPER1",1
"KLC2",1
"RIN1",1
"MRPL11",1
"GRK2",1
"ANKRD13D",1
"NDUFS8",1
"CHKA",1
"IGHMBP2",1
"MYEOV",1
"CCND1",1
"PDE2A",1
"RELT",1
"MRPL48",1
"POLD3",1
"NEU3",1
"DGAT2",1
"UVRAG",1
"THAP12",1
"ACER3",1
"ALG8",1
"DDIAS",1
"PCF11",1
"ANKRD42",1
"DLG2",1
"TMEM126B",1
"EED",1
"RAB38",1
"NOX4",1
"SMCO4",1
"CEP295",1
"MRE11",1
"CEP57",1
"PGR",1
"YAP1",1
"BIRC2",1
"MMP10",1
"MMP1",1
"MMP3",1
"DCUN1D5",1
"AASDHPPT",1
"CWF19L2",1
"ALKBH8",1
"ELMOD1",1
"SLC35F2",1
"POGLUT3",1
"ZC3H12C",1
"FDX1",1
"FDXACB1",1
"C11orf1",1
"DLAT",1
"SDHD",1
"PTS",1
"DRD2",1
"ZPR1",1
"CEP164",1
"RPS25",1
"TRAPPC4",1
"SLC37A4",1
"DPAGT1",1
"C2CD2L",1
"CBL",1
"NECTIN1",1
"BLID",1
"JHY",1
"HSPA8",1
"CLMP",1
"GRAMD1B",1
"ZNF202",1
"TBRG1",1
"NRGN",1
"VSIG2",1
"ESAM",1
"MSANTD2",1
"CCDC15",1
"SLC37A2",1
"TMEM218",1
"NTM",1
"NCAPD3",1
"THYN1",1
"AKR1C1",1
"AKR1C2",1
"GATA3",1
"NUDT5",1
"OLAH",1
"DNAJC1",1
"MKX",1
"ZEB1",1
"CCDC7",1
"NRP1",1
"FZD8",1
"BMS1",1
"ZNF239",1
"ZFAND4",1
"TIMM23",1
"AGAP9",1
"MAPK8",1
"ARHGAP22",1
"TMEM273",1
"TIMM23B",1
"AGAP6",1
"ASAH2",1
"PCDH15",1
"CDK1",1
"ADO",1
"EGR2",1
"NRBF2",1
"JMJD1C",1
