"","MekDD_1_1","Aktmyr_1_2","ARPE19_1_3","RasV12_1_4","T53D4_1_5","MekDD_3_1","Aktmyr_3_2","ARPE19_3_3","RasV12_3_4","T53D4_3_5","RasV12_2_4","T53D4_2_5","MekDD_2_1","Aktmyr_2_2","ARPE19_2_3"
"MCEE",6.79227250153832,7.83757279057314,6.9607114311213,7.25572137432349,6.90155300243133,6.93954750788663,6.98496931062136,7.04441653229858,7.30345652337109,7.09865768760438,7.00399596088898,7.12681751526327,6.87776653559806,7.2996350655616,7.02964825317941
"MPHOSPH10",9.71475312608704,9.56876473995629,9.63623054880532,9.86779255831989,9.75413614352656,9.68866899603089,9.80522079073449,9.87189149210428,10.0957487087497,9.78185980243958,9.85117026749935,9.60982239556255,9.57222623721261,9.52949415900207,9.6955311357639
"PAIP2B",6.38028437195946,7.44332884625279,7.0476350364444,6.54935673807093,6.67404792271189,6.78292593866585,7.20865065889251,6.80478349443598,6.32317461870569,7.08530491327358,6.49656682916462,6.96614022991405,6.68983195769725,6.99770622630906,6.89262339234825
"DYSF",10.4190697803425,10.6279995605607,12.0436048242303,9.86818111494126,12.0087855771887,10.8688526224898,9.92974586582587,11.5533448467745,9.99536399059298,11.7580079802022,10.5539447912076,12.0317330279425,11.1508875445849,10.9546607395013,12.1263458264133
"CYP26B1",8.68196950048822,8.37783515273756,8.19549973186924,7.41234896278631,8.11813634033418,8.77793544354771,8.48362685071738,7.90681171751352,8.57943498347358,8.0111978270525,8.06207928457551,7.8612249939824,8.45690128194308,7.91333532467657,8.09955572922681
"SPR",9.3538519488997,9.34266417815228,9.97525576752848,9.6859235168425,9.84897821778963,9.83125111528371,9.65393380140758,10.0799936394387,9.93031763667429,10.0463661253212,9.91350980928271,9.97481813536189,9.66058941386774,9.53788745803208,9.9921171038679
"SFXN5",8.18840962161835,8.64334561312567,8.15306093217187,8.61117488846646,8.43281858484201,8.38233346079167,8.78062355932354,8.3629136114111,8.89092765712544,8.32714247081907,8.62869485554269,8.41751238300018,8.21504197749503,8.77685193666677,8.32330496279215
"RAB11FIP5",11.9961377860606,11.9698684165706,12.328947803014,11.7336262458692,12.1679842698423,12.0253811223086,11.967368712172,12.2413301965756,11.899680740753,12.1114770806226,11.823248824333,12.0545212374603,11.9443619722936,12.1319096301952,12.2481924453434
"SMYD5",10.0472981676049,10.1869022181594,10.1107209945599,10.3662257211222,10.0943351326455,10.1036024010869,10.1207747084552,10.0945029624743,10.2281137312015,10.2831745908095,10.4310631253819,10.2651673353479,10.2359684576008,10.3572788240241,10.0954076989553
"PRADC1",8.53351157447242,8.82433354640517,8.11836072865471,8.55845308309011,8.61504201036667,8.62731634373229,9.21082734948301,8.81833849622424,8.71172907201992,8.65317485779402,8.79417213554008,8.49694488112852,8.5081513887531,8.97683733367231,8.36438454198125
"CCT7",13.3278933246975,12.9975640686372,13.1683437456019,13.5137098517245,13.4337994677703,13.4556231557065,13.4421332243424,13.6752338553419,13.4962745734282,13.6200722172619,13.5490301343546,13.3271265531557,13.4528271082251,13.1759279993315,13.4899885974203
"FBXO41",9.50782730687885,9.10818142684854,9.76216191418128,8.87955619903909,9.53081556972659,9.57031909366285,9.20027476203493,9.63957745500767,9.15854981872839,9.44209850739417,9.19242092794298,9.4694173040938,9.60078149094477,9.23702479497715,9.52367849008741
"TPRKB",9.81956217100174,9.21802679633143,9.1035896157024,10.0301164541826,9.55519379615526,9.66744966671206,9.79266606703323,9.76587039455696,9.94623859504641,9.67663516754716,10.056650867133,9.65823636747773,9.70888253281112,9.47118524270757,9.4104997624988
"DUSP11",9.31709612816562,9.37162225907074,9.55271911825568,9.40625434714052,9.38665583465585,9.31301016201422,9.24219416055119,9.52163185202998,9.42287439902936,9.38651310979343,9.40223002547567,9.36496868462436,9.38722433336639,9.14402058747629,9.41981234389867
"STAMBP",11.2642572701776,11.3961289740227,11.4693685209532,11.3452692217285,11.2325441215093,10.9861957690613,11.3791700705796,11.167628350499,11.3436680778133,11.0090708986416,11.3969743606209,11.1408069731922,11.1337443860813,11.475700334269,11.3451226333096
"ACTG2",0.918085510788243,0.827829258335155,0.828525505471005,0.993803255205134,0.830027580727486,0.832530733359133,0.945268503008313,0.83240355141841,1.02312374489593,0.834071032248488,1.04565728158714,0.82581422277604,0.827118942561634,0.915662875875285,0.827296146620937
"DGUOK",10.3493694081863,10.0735389426353,10.1890410318315,10.5424285306625,10.2475783874838,10.251090840868,10.1333479421731,10.1992860571288,10.4018662964284,10.0859764951193,10.4853665173837,10.1773807905024,10.26201848764,10.329878075404,10.2517044997865
"BOLA3",9.57854111621478,9.50014423228741,9.14609397786899,9.8481179881285,9.46237043824628,9.50995075517628,9.84573828684345,9.60628792488217,9.66736415510169,9.60726911328081,9.90621090613806,9.36462625438275,9.39151424858976,9.55150289786846,9.32790701089671
"MOB1A",12.2446395389058,11.8439455757466,11.8211261491915,12.1978115157493,11.9396657934396,12.0341327423976,11.8858585093088,11.7410523067043,11.9647945210492,11.7509770791572,11.84859208749,11.7588486579202,11.9141809258247,11.6870989079562,11.8278368530059
"MTHFD2",12.4668311919935,11.5811076973478,10.947331518629,12.3839594610612,12.3668435488172,12.1228634962385,12.4217926094359,11.8559467892539,12.1891496580123,12.2597251593347,12.5686842986117,12.1836678889302,12.330090349125,12.2346978815456,11.5252258574247
"DCTN1",12.5263657575713,12.7629871247315,12.9649788515904,12.34428536827,12.8391383051865,13.0228564383555,13.1707464653568,13.3009311203343,12.8846829126819,13.2801929252771,12.6971426189532,12.9456121803244,12.8150708632918,13.0673418042526,13.1604001301558
"C2orf81",6.01950111668294,5.74501691716847,5.7351857717466,6.40521584510051,5.68320583614804,6.02332032454536,5.42457102347515,5.79238570630477,6.11020945070019,5.91830863021797,6.15847942139169,5.55236239301528,5.99446289826084,5.28567371099778,5.73833867604937
"RTKN",9.31047830047427,9.19513642176576,9.23855457627543,9.12161162856638,9.40808537253189,9.23756955252567,8.90988910894844,9.08752552127295,9.21198392741273,9.27025411998753,9.21712536922731,9.3176288989848,9.4108238205406,9.02896437468362,9.14327125937931
"WBP1",7.92220884939285,8.42362187604869,7.90298246887566,7.57613350072649,7.61454932811694,7.98649934743751,7.60909695094562,7.37480779049757,7.5536051434713,7.53394420732323,7.45056147460724,7.65149811674621,7.58020625533077,7.68078618651277,7.41498545106175
"CCDC142",8.13323859340711,8.10755805696007,8.00088595349583,8.33656273395468,8.09333426193236,8.29474884466003,7.94666681192257,7.91233388450103,8.31291579190094,8.25663412201617,8.20632763462237,7.93621524854992,8.02042220264813,7.96015513760098,8.10551366255071
"TTC31",9.45678392470903,9.72820284830565,9.5084802496646,9.55090621786299,9.45195346373161,9.18217928834872,9.45018414583368,9.1733221067418,9.29902263741539,9.34494572205078,9.4599924907878,9.49669437432499,9.38491457818836,9.63771103726715,9.20635982816095
"LBX2",4.21458711353792,4.12937136332327,4.34748883194451,4.36513055086482,4.46733404370696,4.02243497670008,4.08631548971383,4.20245234295689,4.50378299842836,4.33503581386098,4.40458439986783,4.44825720132021,4.16156804661185,4.06467125548012,4.44375983335208
"PCGF1",8.36154792926718,8.38302744975257,8.44052408603694,8.84777243057384,8.53121309463316,8.4700571125303,8.39157562849817,8.38486086707247,8.94580887476535,8.41182678858289,9.10414879209366,8.59625711432786,8.56925960475654,8.57105511562897,8.58182996746227
"AUP1",11.0627701781425,10.8480938877968,10.961729705274,11.3030775560822,11.2412210215545,10.7255954592132,10.8775948886754,11.0319134839803,11.1259207803438,11.0382763957807,11.2215096202006,10.9760225039054,10.8408314474612,10.812220204841,10.9006405035123
"HTRA2",9.45571806796815,8.90044714356702,9.29723967059248,9.54755730771323,9.67418520682035,9.52753613528202,9.03793721073455,9.40975299273939,9.78553506754947,9.65864038630625,9.60775763760438,9.64510620596003,9.73359848444675,9.18186466548415,9.28937778433288
"DOK1",9.21738566550284,9.24983181186424,9.56614070120701,9.42666315651595,9.60595176622309,9.40173485879718,9.25486071291319,9.33477940930077,9.53853520294474,9.59317289708308,9.46862813393249,9.58613787168539,9.43011162616589,9.46317743055228,9.4574555234067
"M1AP",6.28090058674376,6.16453937732943,5.74365087043604,5.63794263757008,5.80223057182736,6.27545505479336,6.12444375814968,5.81763860221034,5.9530211041622,5.66783285156702,5.60083626529985,6.02223741007519,6.54956774486006,6.4080375461059,5.80022773983535
"SEMA4F",10.2365121870813,10.6552372877462,10.2262411360531,9.79446715987861,10.0935848078265,10.0779463300211,10.1291400032886,9.9520637861342,9.77669195548711,9.87053309330495,9.70576732140136,9.71093427549848,9.97154964847572,10.2529991536456,9.86809905297084
"HK2",11.6334285997706,11.735736910491,11.1822430238328,11.6427739124809,11.4445545706087,11.3031579427817,12.3947852646473,11.5119547529782,11.0546388896209,11.1618546646931,11.2589468547136,10.4504726011092,10.8342346445672,11.9501163554352,11.1530880287182
"EVA1A",11.0896590866275,10.0707078780619,10.5906313151711,10.9252814484407,10.9819308140275,10.9026221197742,10.0268292127534,10.6629732238967,10.5003286505403,10.5711457455232,10.6905962999872,10.5327908466951,10.9611475915369,10.0161313144549,10.5659600287122
"GCFC2",9.49061624666692,9.11394107968953,9.55316410629477,9.54803778061468,9.57277828376918,9.46282403167159,9.42236447432857,9.66768970248155,9.57732888092816,9.50302153714104,9.70246200372375,9.61258928801032,9.43108928118258,9.38248496492184,9.61251142818001
